id	lang	text
128	1033	htdrv\n\ntht\nHtdrv Files (*.tht)\n.tht\ntht.Document\ntht Document
32773	1033	»óÀ§ Æú´õÀÇ ³»¿ëÀ» º¸¿©ÁØ´Ù\n»óÀ§Æú´õ
57344	1033	htdrv
57345	1033	Ready
57600	1033	Create a new document\nNew
57601	1033	Open an existing document\nOpen
57602	1033	Close the active document\nClose
57603	1033	Save the active document\nSave
57604	1033	Save the active document with a new name\nSave As
57616	1033	Open this document
57617	1033	Open this document
57618	1033	Open this document
57619	1033	Open this document
57620	1033	Open this document
57621	1033	Open this document
57622	1033	Open this document
57623	1033	Open this document
57624	1033	Open this document
57625	1033	Open this document
57626	1033	Open this document
57627	1033	Open this document
57628	1033	Open this document
57629	1033	Open this document
57630	1033	Open this document
57631	1033	Open this document
57632	1033	Erase the selection\nErase
57633	1033	Erase everything\nErase All
57634	1033	Copy the selection and put it on the Clipboard\nCopy
57635	1033	Cut the selection and put it on the Clipboard\nCut
57636	1033	Find the specified text\nFind
57637	1033	Insert Clipboard contents\nPaste
57640	1033	Repeat the last action\nRepeat
57641	1033	Replace specific text with different text\nReplace
57642	1033	Select the entire document\nSelect All
57643	1033	Undo the last action\nUndo
57644	1033	Redo the previously undone action\nRedo
57653	1033	Split the active window into panes\nSplit
57664	1033	Display program information, version number and copyright\nAbout
57665	1033	Quit the application; prompts to save documents\nExit
57680	1033	Switch to the next window pane\nNext Pane
57681	1033	Switch back to the previous window pane\nPrevious Pane
59136	1033	EXT
59137	1033	CAP
59138	1033	NUM
59139	1033	SCRL
59140	1033	OVR
59141	1033	REC
59392	1033	µµ±¸¸ðÀ½ÁÙ º¸ÀÌ±â ¶Ç´Â °¨Ãß±â\nµµ±¸¸ðÀ½ÁÙ ÀüÈ¯
59393	1033	»óÅÂ Ç¥½ÃÁÙ º¸ÀÌ±â ¶Ç´Â °¨Ãß±â\n»óÅÂÇ¥½ÃÁÙ ÀüÈ¯
61184	1033	Change the window size
61185	1033	Change the window position
61186	1033	Reduce the window to an icon
61187	1033	Enlarge the window to full size
61188	1033	Switch to the next document window
61189	1033	Switch to the previous document window
61190	1033	Close the active window and prompts to save the documents
61202	1033	Restore the window to normal size
61203	1033	Activate Task List
61204	1033	Io-pad zoom in
61205	1033	Io-pad zoom out
61206	1033	Io-pad expand x
61208	1033	Io-pad reduce x
61209	1033	Change mode
61210	1033	Change mode
61211	1033	Previous IO test
61212	1033	Fault mark
61213	1033	ÇÉ Ã¼Å©¸¦ À§ÇÑ ´ÙÀÌ¾ó·Î±×¸¦ º¸ÀÓ
61440	1033	Open
61441	1033	Save As
61442	1033	All Files (*.*)
61443	1033	Untitled
61446	1033	an unnamed file
61457	1033	&Hide
61472	1033	No error message is available.
61473	1033	An unsupported operation was attempted.
61474	1033	A required resource was unavailable.
61475	1033	Out of memory.
61476	1033	An unknown error has occurred.
61477	1033	An invalid argument was encountered.
61696	1033	Invalid filename.
61697	1033	Failed to open document.
61698	1033	Failed to save document.
61699	1033	Save changes to %1?
61700	1033	Failed to create empty document.
61701	1033	The file is too large to open.
61702	1033	Could not start print job.
61703	1033	Failed to launch help.
61704	1033	Internal application error.
61705	1033	Command failed.
61706	1033	Insufficient memory to perform operation.
61707	1033	System registry entries have been removed and the INI file (if any) was deleted.
61708	1033	Not all of the system registry entries (or INI file) were removed.
61709	1033	This program requires the file %s, which was not found on this system.
61710	1033	This program is linked to the missing export %s in the file %s. This machine may have an incompatible version of %s.
61712	1033	Please enter an integer.
61713	1033	Please enter a number.
61714	1033	Please enter an integer between %1 and %2.
61715	1033	Please enter a number between %1 and %2.
61716	1033	Please enter no more than %1 characters.
61717	1033	Please select a button.
61718	1033	Please enter an integer between 0 and 255.
61719	1033	Please enter a positive integer.
61720	1033	Please enter a date and/or time.
61721	1033	Please enter a currency.
61722	1033	Please enter a GUID.
61723	1033	Please enter a time.
61724	1033	Please enter a date.
61728	1033	Unexpected file format.
61729	1033	%1\nCannot find this file.\nPlease verify that the correct path and file name are given.
61730	1033	Destination disk drive is full.
61731	1033	Unable to read from %1, it is opened by someone else.
61732	1033	Unable to write to %1, it is read-only or opened by someone else.
61733	1033	An unexpected error occurred while reading %1.
61734	1033	An unexpected error occurred while writing %1.
61744	1033	%1: %2\nContinue running script?
61745	1033	Dispatch exception: %1
61836	1033	Unable to read write-only property.
61837	1033	Unable to write read-only property.
61840	1033	Unable to load mail system support.
61841	1033	Mail system DLL is invalid.
61842	1033	Send Mail failed to send message.
61856	1033	No error occurred.
61857	1033	An unknown error occurred while accessing %1.
61858	1033	%1 was not found.
61859	1033	%1 contains an invalid path.
61860	1033	%1 could not be opened because there are too many open files.
61861	1033	Access to %1 was denied.
61862	1033	An invalid file handle was associated with %1.
61863	1033	%1 could not be removed because it is the current directory.
61864	1033	%1 could not be created because the directory is full.
61865	1033	Seek failed on %1
61866	1033	A hardware I/O error was reported while accessing %1.
61867	1033	A sharing violation occurred while accessing %1.
61868	1033	A locking violation occurred while accessing %1.
61869	1033	Disk full while accessing %1.
61870	1033	An attempt was made to access %1 past its end.
61872	1033	No error occurred.
61873	1033	An unknown error occurred while accessing %1.
61874	1033	An attempt was made to write to the reading %1.
61875	1033	An attempt was made to access %1 past its end.
61876	1033	An attempt was made to read from the writing %1.
61877	1033	%1 has a bad format.
61878	1033	%1 contained an unexpected object.
61879	1033	%1 contains an incorrect schema.
61888	1033	pixels
62177	1033	Uncheck
62178	1033	Check
62179	1033	Mixed
